"","AcoCtrl2","AcoCtrl3","AcoCtrl4","AcoDT1","AcoDT2","AcoDT3","AcoDT4","AcoCtrl1"
"4930426D05Rik",0,0,0,0,0,0,0,0
"Garem1",903,1177,892,1601,1942,1881,1461,1525
"Mep1b",0,0,0,0,0,0,0,0
"Rnf138",375,401,317,422,518,441,438,406
"Rnf125",414,691,442,525,714,632,523,491
"Trappc8",2434,2815,2231,3140,3825,3587,2929,3220
"B4galt6",569,606,441,398,592,656,565,602
"Rps15a-ps5",2,1,0,0,1,2,1,1
"Ttr",3,13,6,13,11,9,11,7
"Dsg2",2557,2683,2091,2836,2852,3241,2410,3552
"Dsg3",1712,2512,1827,7468,7194,7461,6215,3209
"Dsg4",3571,380,1016,122,62,1250,469,5091
"Dsg1c",7,19,17,17,14,15,10,12
"Dsg1a",72,115,74,83,74,69,65,124
"Dsg1b",2,1,0,0,0,0,0,1
"Dsc1",16838,25959,16804,21158,27816,22767,13477,27190
"Dsc2",11548,2229,1614,3055,3406,5587,3789,17018
"Dsc3",19040,29467,19627,40603,43123,38132,30498,28400
"Cdh2",68,77,62,76,169,122,161,87
"Chst9",3,0,4,1,0,1,1,6
"Aqp4",613,759,689,176,555,303,252,908
"Kctd1",1958,2546,1535,1916,2323,2115,1702,2174
"Taf4b",290,250,229,272,287,316,259,380
"Psma8",0,0,1,1,0,0,1,1
"Ss18",2399,2922,2086,2578,3257,3000,2337,2944
"Zfp521",426,449,381,232,325,380,259,421
"Hrh4",32,64,33,22,100,56,110,58
"Impact",533,685,499,387,523,546,396,724
"Osbpl1a",3776,5259,3710,2939,4079,3519,2511,5897
"Cabyr",47,57,51,29,52,40,16,60
"Ttc39c",320,322,245,143,227,224,151,303
"Lama3",2918,7472,3857,4994,5156,4264,5675,4164
"Ankrd29",111,222,127,73,97,112,83,139
"Npc1",1522,1886,1420,1608,1861,2076,1615,2309
"Rmc1",469,670,477,699,906,878,712,630
"Riok3",2481,2734,2017,3826,4871,4134,3355,2923
"Tmem241",198,265,175,240,246,264,218,213
